"Name","LineCount"
"src\components\admin\editor\banner\EditorBannerNew.tsx","368"
"src\components\admin\users\UserDetailModal.tsx","331"
"src\components\admin\editor\layout\EditorBanner.tsx","323"
"src\components\admin\editor\blocks\SmartBlockEditor.tsx","320"
"src\components\admin\users\UserDetailSidebar.tsx","319"
"src\components\admin\advertisers\popupBuilder\PopupEditor.tsx","317"
"src\components\admin\SocialHubTab.tsx","314"
"src\components\admin\UsersTab.tsx","306"
"src\components\admin\editor\banner\components\VideoSection.tsx","305"
"src\components\admin\editor\banner\YouTubeVideoUploader.tsx","305"
"src\components\admin\editor\blocks\ImageUploadBlock.tsx","299"
"src\components\admin\users\panels\UserPOSPanel.tsx","298"
"src\components\admin\users\TicketsModal.tsx","281"
"src\components\admin\advertisers\popupBuilder\components\MediaVisualSection.tsx","268"
"src\components\admin\advertisers\config\banners\BannerButtonTab.tsx","263"
"src\components\admin\EditorTab.tsx","257"
"src\components\admin\TagInput.tsx","255"
"src\components\admin\DashboardTab.tsx","252"
"src\components\admin\editor\engagement\ContentEditors.tsx","245"
"src\components\admin\advertisers\editor\sections\GeneralSection.tsx","245"
"src\components\admin\editor\banner\EditorBanner.tsx","244"
"src\components\admin\WorkflowTab.tsx","242"
"src\components\admin\advertisers\config\AdvertisersConfigView.tsx","239"
"src\components\admin\advertisers\popupBuilder\PopupStylePanel.tsx","234"
"src\components\admin\editor\layout\InspectorSidebar.tsx","228"
"src\components\admin\users\panels\UserSubscriptionPanel.tsx","227"
"src\components\admin\advertisers\config\banners\BannerMediaTab.tsx","225"
"src\components\admin\users\panels\subscription\AvailableResourcesSection.tsx","224"
"src\components\admin\news\NewsList.tsx","220"
"src\components\admin\jobs\JobEditModal.tsx","220"
"src\components\admin\SettingsTab.tsx","219"
"src\components\admin\editor\layout\EditorContent.tsx","216"
"src\components\admin\editor\layout\EditorSidebar.tsx","209"
"src\components\admin\GalleryEditorBlock.tsx","208"
"src\components\admin\advertisers\popupBuilder\ThemeSelectorByFilter.tsx","208"
"src\components\admin\AdminLayout.tsx","208"
"src\components\admin\editor\banner\components\ImageGallery.tsx","206"
"src\components\admin\advertisers\popupBuilder\PopupThemePanel.tsx","204"
"src\components\admin\advertisers\popupBuilder\LivePreviewStage.tsx","204"
"src\components\admin\settings\FeatureSettings.tsx","203"
"src\components\admin\users\UserEditModal.tsx","199"
"src\components\admin\advertisers\popupBuilder\components\PopupEffectsEditor.tsx","199"
"src\components\admin\editor\blocks\TextBlock.tsx","198"
"src\components\admin\editor\layout\EditorCover.tsx","195"
"src\components\admin\editor\blocks\textblock\inspector\panels\HeadlinePanel.tsx","195"
"src\components\admin\users\panels\subscription\SubscriptionPlanDetailsModal.tsx","193"
"src\components\admin\advertisers\editor\components\UserLinker.tsx","193"
"src\components\admin\editor\EditorCanvas.tsx","191"
"src\components\admin\advertisers\editor\AdvertiserEditor.tsx","191"
