"FullName","LineCount"
"G:\lagoaformosanomomento\src\components-pages\news-detail\NewsDetailPage.tsx","377"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\EditorBannerNew.tsx","368"
"G:\lagoaformosanomomento\src\components\news\gallery\GalleryLayouts.tsx","360"
"G:\lagoaformosanomomento\src\components\RoleSelectionModal.tsx","360"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\ArticleHero.tsx","349"
"G:\lagoaformosanomomento\src\components\common\TermsOfServiceModal.tsx","344"
"G:\lagoaformosanomomento\src\components\common\PricingModal.tsx","341"
"G:\lagoaformosanomomento\src\components\media\YouTubeMetadataForm.tsx","341"
"G:\lagoaformosanomomento\src\components\admin\users\UserDetailModal.tsx","331"
"G:\lagoaformosanomomento\src\components\common\CustomPickers.tsx","329"
"G:\lagoaformosanomomento\src\components\ads\FullWidthPromo.tsx","323"
"G:\lagoaformosanomomento\src\components\admin\editor\layout\EditorBanner.tsx","323"
"G:\lagoaformosanomomento\src\components\news\NewsCard.tsx","322"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\SmartBlockEditor.tsx","320"
"G:\lagoaformosanomomento\src\components\admin\users\UserDetailSidebar.tsx","319"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\PopupEditor.tsx","317"
"G:\lagoaformosanomomento\src\components\admin\SocialHubTab.tsx","314"
"G:\lagoaformosanomomento\src\providers\DialogProvider.tsx","310"
"G:\lagoaformosanomomento\src\components\media\ChromaKeyVideo.tsx","307"
"G:\lagoaformosanomomento\src\components\admin\UsersTab.tsx","306"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\components\VideoSection.tsx","305"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\YouTubeVideoUploader.tsx","305"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\ImageUploadBlock.tsx","299"
"G:\lagoaformosanomomento\src\components\admin\users\panels\UserPOSPanel.tsx","298"
"G:\lagoaformosanomomento\src\components-pages\ConstructionPage.tsx","296"
"G:\lagoaformosanomomento\src\components-pages\ConstructionPage_BACKUP.tsx","293"
"G:\lagoaformosanomomento\src\components\common\CustomDialogsDemo.tsx","293"
"G:\lagoaformosanomomento\src\components\user\UserSupportSection.tsx","287"
"G:\lagoaformosanomomento\src\components\admin\users\TicketsModal.tsx","281"
"G:\lagoaformosanomomento\src\components\home\popup\PromoPopupView.tsx","281"
"G:\lagoaformosanomomento\src\components\common\MyAccountModal.tsx","278"
"G:\lagoaformosanomomento\src\components\media\UniversalMediaUploader.tsx","273"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\components\MediaVisualSection.tsx","268"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\banners\BannerButtonTab.tsx","263"
"G:\lagoaformosanomomento\src\components\admin\EditorTab.tsx","257"
"G:\lagoaformosanomomento\src\components\admin\TagInput.tsx","255"
"G:\lagoaformosanomomento\src\components\home\popup\slide\SpecialEffectsRenderer.tsx","255"
"G:\lagoaformosanomomento\src\components\common\AuthModalsContainer.tsx","253"
"G:\lagoaformosanomomento\src\components\admin\DashboardTab.tsx","252"
"G:\lagoaformosanomomento\src\components\layout\Header.tsx","250"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\GeneralSection.tsx","245"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\ContentEditors.tsx","245"
"G:\lagoaformosanomomento\src\App.tsx","245"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\EditorBanner.tsx","244"
"G:\lagoaformosanomomento\src\components\ErrorReportPanel.tsx","243"
"G:\lagoaformosanomomento\src\components\admin\WorkflowTab.tsx","242"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\AdvertisersConfigView.tsx","239"
"G:\lagoaformosanomomento\src\components-pages\Home.tsx","235"
"G:\lagoaformosanomomento\src\components\common\AuthorProfileModal.tsx","234"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\PopupStylePanel.tsx","234"
"G:\lagoaformosanomomento\src\components\admin\editor\layout\InspectorSidebar.tsx","228"
"G:\lagoaformosanomomento\src\components-pages\Jobs.tsx","228"
"G:\lagoaformosanomomento\src\components\admin\users\panels\UserSubscriptionPanel.tsx","227"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\banners\BannerMediaTab.tsx","225"
"G:\lagoaformosanomomento\src\components\admin\users\panels\subscription\AvailableResourcesSection.tsx","224"
"G:\lagoaformosanomomento\src\components\admin\news\NewsList.tsx","220"
"G:\lagoaformosanomomento\src\components\admin\jobs\JobEditModal.tsx","220"
"G:\lagoaformosanomomento\src\components\admin\SettingsTab.tsx","219"
"G:\lagoaformosanomomento\src\components\user\UserStorePOS.tsx","217"
"G:\lagoaformosanomomento\src\components\admin\editor\layout\EditorContent.tsx","216"
"G:\lagoaformosanomomento\src\components-pages\news-detail\components\article\ArticleContent.tsx","213"
"G:\lagoaformosanomomento\src\components\common\AdvertiserCard.tsx","212"
"G:\lagoaformosanomomento\src\components\Login\index.tsx","211"
"G:\lagoaformosanomomento\src\components\admin\editor\layout\EditorSidebar.tsx","209"
"G:\lagoaformosanomomento\src\components\admin\AdminLayout.tsx","208"
"G:\lagoaformosanomomento\src\components\admin\GalleryEditorBlock.tsx","208"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\ThemeSelectorByFilter.tsx","208"
"G:\lagoaformosanomomento\src\components\news\EngagementRenderer.tsx","207"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\components\ImageGallery.tsx","206"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\LivePreviewStage.tsx","204"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\PopupThemePanel.tsx","204"
"G:\lagoaformosanomomento\src\components\admin\settings\FeatureSettings.tsx","203"
"G:\lagoaformosanomomento\src\components\user\SupportTicketDetailsModal.tsx","203"
"G:\lagoaformosanomomento\src\components\common\CustomNotification.tsx","201"
"G:\lagoaformosanomomento\src\components\player\SmartVideoPlayer.tsx","199"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\components\PopupEffectsEditor.tsx","199"
"G:\lagoaformosanomomento\src\components\admin\users\UserEditModal.tsx","199"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\TextBlock.tsx","198"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\inspector\panels\HeadlinePanel.tsx","195"
"G:\lagoaformosanomomento\src\components\admin\editor\layout\EditorCover.tsx","195"
"G:\lagoaformosanomomento\src\components\admin\users\panels\subscription\SubscriptionPlanDetailsModal.tsx","193"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\components\UserLinker.tsx","193"
"G:\lagoaformosanomomento\src\components\admin\editor\EditorCanvas.tsx","191"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\AdvertiserEditor.tsx","191"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\shared\UserLinkSection.tsx","190"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\CloudinaryVideoUploader.tsx","190"
"G:\lagoaformosanomomento\src\components\forms\MaskedInput.tsx","189"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\ProductsSection.tsx","189"
"G:\lagoaformosanomomento\src\components\user\UserResourcesInventory.tsx","187"
"G:\lagoaformosanomomento\src\components\admin\users\panels\UserSupportPanel.tsx","187"
"G:\lagoaformosanomomento\src\components\admin\users\panels\CashbackInfoModal.tsx","185"
"G:\lagoaformosanomomento\src\components\common\ChangelogModal.tsx","184"
"G:\lagoaformosanomomento\src\components\home\popup\PromoPopupSlide.tsx","184"
"G:\lagoaformosanomomento\src\components\admin\users\panels\subscription\WalletSection.tsx","183"
"G:\lagoaformosanomomento\src\components\admin\advertisers\editor\sections\ShowcaseSection.tsx","183"
"G:\lagoaformosanomomento\src\components\admin\EngagementEditorBlock.tsx","179"
"G:\lagoaformosanomomento\src\components\admin\YouTubeConfigModal.tsx","178"
"G:\lagoaformosanomomento\src\components\admin\SocialDistributionOverlay.tsx","177"
"G:\lagoaformosanomomento\src\components-pages\Advertiser.tsx","176"
"G:\lagoaformosanomomento\src\components\layout\header\VisualBanner.tsx","174"
"G:\lagoaformosanomomento\src\components\layout\CategoryMenu.tsx","173"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\banner-components\YouTubeMetadataForm.tsx","172"
"G:\lagoaformosanomomento\src\components\layout\Footer.tsx","171"
"G:\lagoaformosanomomento\src\components\admin\editor\RichContextMenu.tsx","171"
