"FullName","LineCount"
"G:\lagoaformosanomomento\src\components\home\popup\popupThemeCatalog.ts","364"
"G:\lagoaformosanomomento\src\services\geminiService.ts","358"
"G:\lagoaformosanomomento\src\services\users\commercialOperations.ts","350"
"G:\lagoaformosanomomento\src\types\ads.ts","349"
"G:\lagoaformosanomomento\src\services\storage\syncService.ts","329"
"G:\lagoaformosanomomento\src\components\admin\editor\hooks\useEditorController.ts","323"
"G:\lagoaformosanomomento\src\utils\engagementThemeHelper.ts","321"
"G:\lagoaformosanomomento\src\services\sanitizationService.ts","298"
"G:\lagoaformosanomomento\src\hooks\useAppInitialization.ts","294"
"G:\lagoaformosanomomento\src\utils\popupSafety.ts","291"
"G:\lagoaformosanomomento\src\services\admin\commercial.ts","279"
"G:\lagoaformosanomomento\src\utils\validators.ts","274"
"G:\lagoaformosanomomento\src\services\content\contentMappers.ts","260"
"G:\lagoaformosanomomento\src\hooks\useAppController.ts","247"
"G:\lagoaformosanomomento\src\services\upload\youtubeVideoService.ts","224"
"G:\lagoaformosanomomento\src\hooks\useFieldPermissions.ts","214"
"G:\lagoaformosanomomento\src\components\Login\hooks\useAuthFlow.ts","214"
"G:\lagoaformosanomomento\src\hooks\auth\useAuthRegistration.ts","207"
"G:\lagoaformosanomomento\src\services\offlineService.ts","199"
"G:\lagoaformosanomomento\src\services\settingsService.ts","198"
"G:\lagoaformosanomomento\src\components\admin\EditorWidgets.ts","192"
"G:\lagoaformosanomomento\src\utils\masks.ts","191"
"G:\lagoaformosanomomento\src\services\cloudinaryService.ts","182"
"G:\lagoaformosanomomento\src\services\content\contentService.ts","181"
"G:\lagoaformosanomomento\src\components\admin\users\panels\pos\types.ts","174"
"G:\lagoaformosanomomento\src\components\admin\editor\schema\editorialTextSettings.ts","168"
"G:\lagoaformosanomomento\src\services\upload\cloudinaryVideoService.ts","167"
"G:\lagoaformosanomomento\src\services\users\mappers.ts","166"
"G:\lagoaformosanomomento\src\services\storage\localStorageService.ts","165"
"G:\lagoaformosanomomento\src\hooks\useModals.ts","162"
"G:\lagoaformosanomomento\src\hooks\useAppCrudHandlers.ts","160"
"G:\lagoaformosanomomento\src\types\news.ts","155"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\hooks\useMediaBlock.ts","150"
"G:\lagoaformosanomomento\src\services\integrationService.ts","141"
"G:\lagoaformosanomomento\src\utils\smartPlaybackGenerator.ts","140"
"G:\lagoaformosanomomento\src\services\engagement\engagementService.ts","136"
"G:\lagoaformosanomomento\src\components\admin\editor\hooks\useImageUploadQueue.ts","136"
"G:\lagoaformosanomomento\src\types\system.ts","131"
"G:\lagoaformosanomomento\src\services\support\supportService.ts","129"
"G:\lagoaformosanomomento\src\hooks\home\useHomeNews.ts","126"
"G:\lagoaformosanomomento\src\utils\videoValidator.ts","124"
"G:\lagoaformosanomomento\src\hooks\useAuth.ts","123"
"G:\lagoaformosanomomento\src\services\users\core.ts","118"
"G:\lagoaformosanomomento\src\components\home\popup\mediaThemes.ts","114"
"G:\lagoaformosanomomento\src\components\admin\editor\hooks\useNewsPublication.ts","112"
"G:\lagoaformosanomomento\src\services\youtubeService.ts","109"
"G:\lagoaformosanomomento\src\components\admin\editor\hooks\usePublishingWorkflow.ts","106"
"G:\lagoaformosanomomento\src\components\admin\editor\EditorialThemes.ts","105"
"G:\lagoaformosanomomento\src\types\users.ts","104"
"G:\lagoaformosanomomento\src\components\Login\hooks\useLoginSecurity.ts","102"
"G:\lagoaformosanomomento\src\hooks\useDataHandlers.ts","101"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\TextBlockStyles.ts","101"
"G:\lagoaformosanomomento\src\config\systemDefaults.ts","100"
"G:\lagoaformosanomomento\src\services\core\supabaseClient.ts","95"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\types.ts","93"
"G:\lagoaformosanomomento\src\components\media\uploader\watermarkProcessor.ts","91"
"G:\lagoaformosanomomento\src\utils\dailyBreadGenerator.ts","89"
"G:\lagoaformosanomomento\src\services\activityNotifications.ts","87"
"G:\lagoaformosanomomento\src\components\admin\WidgetPresets.ts","84"
"G:\lagoaformosanomomento\src\components\home\popup\videoFrames.ts","73"
"G:\lagoaformosanomomento\src\hooks\useAppErrorHandler.ts","69"
"G:\lagoaformosanomomento\src\services\platformService.ts","66"
"G:\lagoaformosanomomento\src\components\home\popup\overlayPresets.ts","66"
"G:\lagoaformosanomomento\src\services\content\tagService.ts","64"
"G:\lagoaformosanomomento\src\supabase\functions\cloudinary-delete\index.ts","64"
"G:\lagoaformosanomomento\src\components\home\popup\mediaFilters.ts","64"
"G:\lagoaformosanomomento\src\services\core\debugLogger.ts","61"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\defaults.ts","61"
"G:\lagoaformosanomomento\src\services\admin\devToolsService.ts","60"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popupBuilder\hooks\usePopupMedia.ts","59"
"G:\lagoaformosanomomento\src\components-pages\news-detail\hooks\useReadingProgress.ts","58"
"G:\lagoaformosanomomento\src\hooks\useAppConfirmation.ts","58"
"G:\lagoaformosanomomento\src\services\supabaseService.ts","57"
"G:\lagoaformosanomomento\src\components\home\popup\popupThemes.ts","57"
"G:\lagoaformosanomomento\src\utils\authErrors.ts","56"
"G:\lagoaformosanomomento\src\services\adService.ts","55"
"G:\lagoaformosanomomento\src\components\role-wizard\types.ts","54"
"G:\lagoaformosanomomento\src\hooks\useInactivityTimer.ts","54"
"G:\lagoaformosanomomento\src\services\admin\auditService.ts","53"
"G:\lagoaformosanomomento\src\services\users\commercialData.ts","53"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\normalize.ts","53"
"G:\lagoaformosanomomento\src\services\driveService.ts","51"
"G:\lagoaformosanomomento\src\components\admin\advertisers\popup\previewStageStyles.ts","51"
"G:\lagoaformosanomomento\src\hooks\useAppDerivedData.ts","50"
"G:\lagoaformosanomomento\src\components\admin\editor\EngagementStyles.ts","48"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\banners\constants.ts","47"
"G:\lagoaformosanomomento\src\services\content\advertiserService.ts","44"
"G:\lagoaformosanomomento\src\services\content\newsService.ts","41"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\placements\placementsRegistry.ts","38"
"G:\lagoaformosanomomento\src\components\admin\users\constants.ts","38"
"G:\lagoaformosanomomento\src\components-pages\news-detail\utils\article.ts","35"
"G:\lagoaformosanomomento\src\constants\termsOfService.ts","35"
"G:\lagoaformosanomomento\src\services\users\auth.ts","35"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\EngagementTypes.ts","35"
"G:\lagoaformosanomomento\src\services\monitoring\errorReportingService.ts","33"
"G:\lagoaformosanomomento\src\hooks\auth\useAuthSession.ts","31"
"G:\lagoaformosanomomento\src\utils\sanitizer.ts","30"
"G:\lagoaformosanomomento\src\components\admin\types.ts","29"
"G:\lagoaformosanomomento\src\hooks\useAppNavigation.ts","28"
"G:\lagoaformosanomomento\src\components-pages\news-detail\hooks\useActiveHeading.ts","27"
"G:\lagoaformosanomomento\src\components\blocks\engagement\types.ts","25"
"G:\lagoaformosanomomento\src\services\toastService.ts","25"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\render\applyGlobalStyles.ts","24"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\plans\planDefaults.ts","21"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\plans\planValidation.ts","19"
"G:\lagoaformosanomomento\src\components\admin\editor\gallery\GalleryConstants.ts","16"
"G:\lagoaformosanomomento\src\services\admin\adminService.ts","16"
"G:\lagoaformosanomomento\src\services\users\userService.ts","13"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\placements\placementTypes.ts","12"
"G:\lagoaformosanomomento\src\vite-env.d.ts","12"
"G:\lagoaformosanomomento\src\components\admin\advertisers\config\shared\useDirtyState.ts","12"
"G:\lagoaformosanomomento\src\services\content\socialService.ts","11"
"G:\lagoaformosanomomento\src\components\admin\editor\banner\components\index.ts","10"
"G:\lagoaformosanomomento\src\services\users\commercial.ts","8"
"G:\lagoaformosanomomento\src\components\admin\editor\engagement\SubEditorProps.ts","8"
"G:\lagoaformosanomomento\src\types\index.ts","7"
"G:\lagoaformosanomomento\src\utils\cn.ts","6"
"G:\lagoaformosanomomento\src\components\admin\editor\blocks\textblock\index.ts","4"
"G:\lagoaformosanomomento\src\version.ts","4"
"G:\lagoaformosanomomento\src\components\admin\editor\EditorWidgets.ts","2"
"G:\lagoaformosanomomento\src\components\admin\editor\EngagementColors.ts","2"
"G:\lagoaformosanomomento\src\services\nhostService.ts","1"
